symbol,side,type,quantity,limit_price
BNBUSDT,SELL,MARKET,8.91,0
SOLUSDT,BUY,MARKET,10.22,0
SOLUSDT,BUY,MARKET,8.97,0
MATICUSDT,BUY,MARKET,4.24,0
ADAUSDT,SELL,MARKET,9.8,0
SOLUSDT,BUY,MARKET,4.02,0
DOTUSDT,SELL,MARKET,8.9,0
BNBUSDT,SELL,MARKET,5.54,0
ETHUSDT,BUY,MARKET,5.57,0
BTCUSDT,BUY,MARKET,4.64,0
DOGEUSDT,BUY,MARKET,5.03,0
BTCUSDT,BUY,MARKET,1.42,0
DOTUSDT,SELL,MARKET,8.14,0
DOTUSDT,SELL,MARKET,11.06,0
SOLUSDT,SELL,MARKET,4.51,0
DOGEUSDT,SELL,MARKET,4.39,0
AVAXUSDT,SELL,MARKET,10.88,0
XRPUSDT,SELL,MARKET,5.66,0
BNBUSDT,BUY,MARKET,13.32,0
SOLUSDT,BUY,MARKET,11.5,0
BNBUSDT,BUY,MARKET,19.34,0
AVAXUSDT,SELL,MARKET,1.93,0
ETHUSDT,SELL,MARKET,8.0,0
BTCUSDT,SELL,MARKET,9.0,0
XRPUSDT,BUY,MARKET,11.92,0
ADAUSDT,SELL,MARKET,6.8,0
ADAUSDT,BUY,MARKET,6.31,0
BTCUSDT,BUY,MARKET,11.79,0
BTCUSDT,SELL,MARKET,10.58,0
BNBUSDT,SELL,MARKET,8.85,0
ETHUSDT,BUY,MARKET,0.75,0
DOTUSDT,BUY,MARKET,17.51,0
DOTUSDT,BUY,MARKET,19.2,0
BTCUSDT,BUY,MARKET,8.95,0
BNBUSDT,SELL,MARKET,1.66,0
BTCUSDT,BUY,MARKET,7.77,0
AVAXUSDT,BUY,MARKET,10.27,0
BNBUSDT,BUY,MARKET,3.27,0
DOGEUSDT,SELL,MARKET,3.84,0
AVAXUSDT,SELL,MARKET,5.42,0
BTCUSDT,SELL,MARKET,8.23,0
DOTUSDT,BUY,MARKET,8.29,0
AVAXUSDT,SELL,MARKET,14.42,0
AVAXUSDT,SELL,MARKET,15.76,0
ETHUSDT,SELL,MARKET,14.78,0
AVAXUSDT,SELL,MARKET,9.11,0
BNBUSDT,SELL,MARKET,8.68,0
AVAXUSDT,BUY,MARKET,12.67,0
BTCUSDT,BUY,MARKET,11.17,0
ETHUSDT,BUY,MARKET,14.39,0
MATICUSDT,BUY,MARKET,10.46,0
DOGEUSDT,SELL,MARKET,15.91,0
BNBUSDT,BUY,MARKET,4.73,0
MATICUSDT,SELL,MARKET,1.98,0
ADAUSDT,SELL,MARKET,1.69,0
ETHUSDT,SELL,MARKET,16.72,0
BNBUSDT,BUY,MARKET,14.82,0
SOLUSDT,SELL,MARKET,6.82,0
DOGEUSDT,SELL,MARKET,4.75,0
MATICUSDT,SELL,MARKET,7.84,0
SOLUSDT,BUY,MARKET,10.33,0
DOTUSDT,BUY,MARKET,2.28,0
SOLUSDT,BUY,MARKET,4.88,0
ADAUSDT,SELL,MARKET,11.78,0
BTCUSDT,SELL,MARKET,5.91,0
XRPUSDT,SELL,MARKET,11.59,0
DOTUSDT,BUY,MARKET,14.1,0
MATICUSDT,SELL,MARKET,8.11,0
DOTUSDT,BUY,MARKET,17.13,0
BNBUSDT,BUY,MARKET,17.37,0
ADAUSDT,SELL,MARKET,3.4,0
DOGEUSDT,SELL,MARKET,17.37,0
ADAUSDT,BUY,MARKET,13.45,0
BNBUSDT,BUY,MARKET,9.52,0
SOLUSDT,BUY,MARKET,1.65,0
MATICUSDT,SELL,MARKET,1.22,0
MATICUSDT,BUY,MARKET,17.15,0
MATICUSDT,BUY,MARKET,9.37,0
BNBUSDT,BUY,MARKET,8.53,0
SOLUSDT,BUY,MARKET,11.03,0
BTCUSDT,SELL,MARKET,4.94,0
XRPUSDT,SELL,MARKET,7.47,0
ADAUSDT,BUY,MARKET,6.71,0
DOTUSDT,SELL,MARKET,1.48,0
ETHUSDT,SELL,MARKET,17.31,0
XRPUSDT,SELL,MARKET,0.88,0
ETHUSDT,SELL,MARKET,10.96,0
MATICUSDT,SELL,MARKET,5.26,0
BTCUSDT,BUY,MARKET,15.13,0
BTCUSDT,BUY,MARKET,14.64,0
XRPUSDT,SELL,MARKET,17.5,0
MATICUSDT,SELL,MARKET,7.64,0
ADAUSDT,BUY,MARKET,1.59,0
DOGEUSDT,BUY,MARKET,16.08,0
AVAXUSDT,SELL,MARKET,13.86,0
AVAXUSDT,BUY,MARKET,7.64,0
DOTUSDT,BUY,MARKET,15.76,0
BTCUSDT,SELL,MARKET,14.57,0
DOTUSDT,BUY,MARKET,17.53,0
BTCUSDT,SELL,MARKET,13.86,0
ETHUSDT,BUY,MARKET,15.83,0
AVAXUSDT,BUY,MARKET,19.57,0
SOLUSDT,SELL,MARKET,16.86,0
DOGEUSDT,SELL,MARKET,14.65,0
BTCUSDT,SELL,MARKET,11.56,0
BNBUSDT,BUY,MARKET,5.48,0
ADAUSDT,SELL,MARKET,1.05,0
BNBUSDT,BUY,MARKET,12.13,0
BNBUSDT,SELL,MARKET,15.41,0
ETHUSDT,SELL,MARKET,19.71,0
MATICUSDT,SELL,MARKET,4.98,0
MATICUSDT,BUY,MARKET,0.1,0
DOGEUSDT,SELL,MARKET,0.84,0
MATICUSDT,BUY,MARKET,2.42,0
XRPUSDT,SELL,MARKET,8.03,0
SOLUSDT,SELL,MARKET,8.34,0
AVAXUSDT,BUY,MARKET,19.33,0
ADAUSDT,SELL,MARKET,3.3,0
ADAUSDT,SELL,MARKET,8.18,0
MATICUSDT,BUY,MARKET,3.37,0
ADAUSDT,BUY,MARKET,19.03,0
BNBUSDT,SELL,MARKET,8.46,0
ETHUSDT,BUY,MARKET,3.54,0
ADAUSDT,SELL,MARKET,8.08,0
MATICUSDT,SELL,MARKET,9.87,0
SOLUSDT,BUY,MARKET,2.63,0
ADAUSDT,SELL,MARKET,9.53,0
DOGEUSDT,BUY,MARKET,9.37,0
DOGEUSDT,SELL,MARKET,14.49,0
BTCUSDT,BUY,MARKET,5.77,0
DOGEUSDT,SELL,MARKET,18.14,0
BTCUSDT,BUY,MARKET,1.34,0
ETHUSDT,SELL,MARKET,11.19,0
SOLUSDT,BUY,MARKET,8.62,0
XRPUSDT,BUY,MARKET,7.17,0
BTCUSDT,BUY,MARKET,15.42,0
AVAXUSDT,BUY,MARKET,9.09,0
DOTUSDT,BUY,MARKET,0.69,0
ADAUSDT,SELL,MARKET,10.61,0
MATICUSDT,SELL,MARKET,2.97,0
XRPUSDT,BUY,MARKET,7.09,0
MATICUSDT,BUY,MARKET,9.55,0
SOLUSDT,SELL,MARKET,10.09,0
ADAUSDT,SELL,MARKET,3.78,0
SOLUSDT,SELL,MARKET,12.6,0
BNBUSDT,BUY,MARKET,3.54,0
AVAXUSDT,SELL,MARKET,15.17,0
SOLUSDT,BUY,MARKET,2.91,0
DOGEUSDT,SELL,MARKET,0.67,0
ETHUSDT,BUY,MARKET,4.54,0
BTCUSDT,BUY,MARKET,7.05,0
ETHUSDT,SELL,MARKET,5.16,0
DOTUSDT,SELL,MARKET,9.05,0
AVAXUSDT,SELL,MARKET,0.6,0
MATICUSDT,BUY,MARKET,16.56,0
XRPUSDT,SELL,MARKET,19.9,0
MATICUSDT,SELL,MARKET,0.34,0
XRPUSDT,SELL,MARKET,10.63,0
XRPUSDT,BUY,MARKET,8.59,0
DOTUSDT,SELL,MARKET,7.7,0
BTCUSDT,SELL,MARKET,13.04,0
DOTUSDT,BUY,MARKET,15.19,0
XRPUSDT,BUY,MARKET,9.62,0
AVAXUSDT,SELL,MARKET,3.85,0
AVAXUSDT,SELL,MARKET,18.22,0
BNBUSDT,SELL,MARKET,5.5,0
BTCUSDT,BUY,MARKET,11.86,0
ETHUSDT,BUY,MARKET,19.25,0
XRPUSDT,SELL,MARKET,15.56,0
SOLUSDT,BUY,MARKET,14.4,0
ADAUSDT,BUY,MARKET,17.84,0
DOGEUSDT,SELL,MARKET,17.94,0
DOGEUSDT,BUY,MARKET,0.26,0
MATICUSDT,SELL,MARKET,12.58,0
ETHUSDT,SELL,MARKET,0.56,0
MATICUSDT,BUY,MARKET,8.46,0
ADAUSDT,BUY,MARKET,19.89,0
BTCUSDT,SELL,MARKET,0.7,0
XRPUSDT,SELL,MARKET,6.85,0
BNBUSDT,SELL,MARKET,19.43,0
BTCUSDT,SELL,MARKET,3.77,0
ADAUSDT,SELL,MARKET,12.32,0
AVAXUSDT,BUY,MARKET,5.68,0
XRPUSDT,SELL,MARKET,0.95,0
DOTUSDT,BUY,MARKET,11.57,0
BTCUSDT,BUY,MARKET,11.28,0
DOTUSDT,BUY,MARKET,4.06,0
ADAUSDT,BUY,MARKET,11.42,0
AVAXUSDT,SELL,MARKET,2.71,0
MATICUSDT,SELL,MARKET,15.63,0
BTCUSDT,SELL,MARKET,6.73,0
MATICUSDT,SELL,MARKET,10.87,0
XRPUSDT,SELL,MARKET,18.05,0
ADAUSDT,SELL,MARKET,6.78,0
ADAUSDT,BUY,MARKET,6.23,0
DOTUSDT,SELL,MARKET,4.48,0
XRPUSDT,SELL,MARKET,10.07,0
BNBUSDT,BUY,MARKET,1.76,0
AVAXUSDT,BUY,MARKET,12.46,0
ADAUSDT,SELL,MARKET,13.4,0
XRPUSDT,BUY,MARKET,4.17,0
AVAXUSDT,SELL,MARKET,12.08,0
BTCUSDT,SELL,MARKET,7.01,0
BNBUSDT,BUY,MARKET,14.05,0
ADAUSDT,BUY,MARKET,7.69,0
AVAXUSDT,BUY,MARKET,5.08,0
AVAXUSDT,BUY,MARKET,1.39,0
DOTUSDT,BUY,MARKET,3.42,0
XRPUSDT,BUY,MARKET,0.43,0
DOGEUSDT,BUY,MARKET,7.21,0
BNBUSDT,SELL,MARKET,17.69,0
XRPUSDT,SELL,MARKET,16.08,0
BTCUSDT,BUY,MARKET,7.19,0
XRPUSDT,SELL,MARKET,1.71,0
XRPUSDT,BUY,MARKET,7.8,0
ADAUSDT,BUY,MARKET,11.3,0
DOGEUSDT,BUY,MARKET,8.54,0
XRPUSDT,BUY,MARKET,14.79,0
DOGEUSDT,SELL,MARKET,0.6,0
DOTUSDT,SELL,MARKET,11.26,0
AVAXUSDT,SELL,MARKET,18.23,0
MATICUSDT,SELL,MARKET,17.39,0
SOLUSDT,BUY,MARKET,1.7,0
XRPUSDT,SELL,MARKET,18.12,0
DOTUSDT,BUY,MARKET,7.46,0
DOGEUSDT,SELL,MARKET,14.31,0
BTCUSDT,BUY,MARKET,19.34,0
DOTUSDT,BUY,MARKET,4.56,0
XRPUSDT,BUY,MARKET,17.04,0
XRPUSDT,SELL,MARKET,2.36,0
ETHUSDT,BUY,MARKET,7.53,0
SOLUSDT,SELL,MARKET,0.92,0
SOLUSDT,BUY,MARKET,4.43,0
ADAUSDT,SELL,MARKET,12.55,0
SOLUSDT,SELL,MARKET,0.57,0
DOTUSDT,BUY,MARKET,19.23,0
MATICUSDT,SELL,MARKET,11.36,0
BNBUSDT,BUY,MARKET,14.89,0
MATICUSDT,BUY,MARKET,6.05,0
AVAXUSDT,SELL,MARKET,10.47,0
XRPUSDT,SELL,MARKET,9.7,0
XRPUSDT,SELL,MARKET,13.87,0
BTCUSDT,BUY,MARKET,17.61,0
XRPUSDT,SELL,MARKET,18.55,0
DOTUSDT,BUY,MARKET,9.8,0
BNBUSDT,BUY,MARKET,10.3,0
AVAXUSDT,BUY,MARKET,12.67,0
XRPUSDT,SELL,MARKET,1.74,0
SOLUSDT,BUY,MARKET,18.27,0
DOTUSDT,SELL,MARKET,15.58,0
DOGEUSDT,BUY,MARKET,15.16,0
XRPUSDT,SELL,MARKET,0.89,0
ADAUSDT,SELL,MARKET,6.2,0
DOGEUSDT,SELL,MARKET,18.12,0
DOTUSDT,SELL,MARKET,11.84,0
XRPUSDT,BUY,MARKET,10.21,0
MATICUSDT,SELL,MARKET,11.08,0
DOGEUSDT,BUY,MARKET,12.55,0
MATICUSDT,SELL,MARKET,11.15,0
DOTUSDT,BUY,MARKET,14.13,0
BTCUSDT,BUY,MARKET,13.79,0
SOLUSDT,SELL,MARKET,10.1,0
SOLUSDT,BUY,MARKET,3.99,0
ADAUSDT,SELL,MARKET,19.79,0
ADAUSDT,BUY,MARKET,16.78,0
AVAXUSDT,BUY,MARKET,13.5,0
DOTUSDT,BUY,MARKET,6.48,0
AVAXUSDT,SELL,MARKET,16.56,0
ETHUSDT,BUY,MARKET,16.52,0
MATICUSDT,BUY,MARKET,3.05,0
BTCUSDT,BUY,MARKET,0.19,0
MATICUSDT,BUY,MARKET,13.54,0
SOLUSDT,BUY,MARKET,2.89,0
AVAXUSDT,BUY,MARKET,13.14,0
DOTUSDT,BUY,MARKET,4.81,0
ETHUSDT,BUY,MARKET,12.96,0
ETHUSDT,BUY,MARKET,9.44,0
AVAXUSDT,BUY,MARKET,15.16,0
BTCUSDT,BUY,MARKET,7.28,0
MATICUSDT,SELL,MARKET,1.02,0
XRPUSDT,SELL,MARKET,16.28,0
BTCUSDT,BUY,MARKET,18.56,0
MATICUSDT,BUY,MARKET,6.59,0
MATICUSDT,BUY,MARKET,0.46,0
BNBUSDT,SELL,MARKET,13.58,0
ETHUSDT,BUY,MARKET,5.54,0
ADAUSDT,SELL,MARKET,1.62,0
ADAUSDT,BUY,MARKET,11.28,0
ETHUSDT,BUY,MARKET,2.04,0
SOLUSDT,SELL,MARKET,16.74,0
BTCUSDT,SELL,MARKET,19.48,0
DOTUSDT,BUY,MARKET,4.73,0
DOGEUSDT,SELL,MARKET,3.61,0
XRPUSDT,BUY,MARKET,6.21,0
AVAXUSDT,BUY,MARKET,3.14,0
BTCUSDT,SELL,MARKET,9.88,0
DOTUSDT,SELL,MARKET,16.91,0
SOLUSDT,BUY,MARKET,13.47,0
DOTUSDT,SELL,MARKET,11.44,0
ADAUSDT,SELL,MARKET,11.99,0
ADAUSDT,SELL,MARKET,7.61,0
AVAXUSDT,SELL,MARKET,13.84,0
BNBUSDT,BUY,MARKET,7.82,0
SOLUSDT,SELL,MARKET,9.66,0
DOGEUSDT,BUY,MARKET,8.91,0
DOTUSDT,SELL,MARKET,10.15,0
BNBUSDT,SELL,MARKET,19.93,0
XRPUSDT,SELL,MARKET,8.17,0
SOLUSDT,BUY,MARKET,13.96,0
ETHUSDT,SELL,MARKET,11.21,0
MATICUSDT,BUY,MARKET,7.3,0
XRPUSDT,SELL,MARKET,8.6,0
MATICUSDT,SELL,MARKET,2.66,0
DOTUSDT,SELL,MARKET,2.1,0
XRPUSDT,BUY,MARKET,8.8,0
ETHUSDT,BUY,MARKET,10.14,0
ADAUSDT,SELL,MARKET,10.44,0
ETHUSDT,BUY,MARKET,1.08,0
XRPUSDT,BUY,MARKET,10.43,0
DOTUSDT,BUY,MARKET,8.07,0
BNBUSDT,BUY,MARKET,4.83,0
XRPUSDT,SELL,MARKET,1.77,0
ETHUSDT,SELL,MARKET,16.12,0
MATICUSDT,BUY,MARKET,3.4,0
XRPUSDT,SELL,MARKET,14.98,0
DOTUSDT,BUY,MARKET,17.7,0
AVAXUSDT,SELL,MARKET,8.28,0
DOGEUSDT,BUY,MARKET,18.69,0
AVAXUSDT,SELL,MARKET,4.58,0
DOTUSDT,SELL,MARKET,11.23,0
ADAUSDT,BUY,MARKET,16.55,0
MATICUSDT,BUY,MARKET,11.04,0
ADAUSDT,BUY,MARKET,13.61,0
SOLUSDT,BUY,MARKET,7.59,0
DOTUSDT,SELL,MARKET,7.63,0
BTCUSDT,BUY,MARKET,4.08,0
ADAUSDT,SELL,MARKET,13.32,0
BNBUSDT,BUY,MARKET,8.25,0
DOGEUSDT,SELL,MARKET,12.04,0
ADAUSDT,SELL,MARKET,12.38,0
SOLUSDT,SELL,MARKET,8.19,0
BTCUSDT,SELL,MARKET,6.23,0
DOGEUSDT,SELL,MARKET,9.74,0
ETHUSDT,SELL,MARKET,9.0,0
BNBUSDT,BUY,MARKET,11.64,0
ADAUSDT,BUY,MARKET,12.02,0
XRPUSDT,BUY,MARKET,18.6,0
ETHUSDT,SELL,MARKET,8.29,0
DOGEUSDT,SELL,MARKET,12.59,0
SOLUSDT,SELL,MARKET,16.35,0
DOGEUSDT,SELL,MARKET,6.0,0
SOLUSDT,BUY,MARKET,9.26,0
ADAUSDT,BUY,MARKET,9.62,0
SOLUSDT,SELL,MARKET,11.49,0
BTCUSDT,SELL,MARKET,9.25,0
DOGEUSDT,SELL,MARKET,15.95,0
ETHUSDT,BUY,MARKET,16.15,0
AVAXUSDT,SELL,MARKET,9.71,0
DOGEUSDT,BUY,MARKET,16.59,0
ETHUSDT,BUY,MARKET,9.48,0
DOTUSDT,SELL,MARKET,11.45,0
ETHUSDT,SELL,MARKET,16.92,0
XRPUSDT,SELL,MARKET,5.23,0
BTCUSDT,SELL,MARKET,8.82,0
AVAXUSDT,BUY,MARKET,10.93,0
BNBUSDT,BUY,MARKET,14.88,0
ETHUSDT,BUY,MARKET,18.45,0
DOGEUSDT,SELL,MARKET,0.4,0
BTCUSDT,SELL,MARKET,15.87,0
BNBUSDT,BUY,MARKET,12.03,0
SOLUSDT,BUY,MARKET,7.41,0
BTCUSDT,BUY,MARKET,5.04,0
SOLUSDT,SELL,MARKET,5.45,0
BNBUSDT,SELL,MARKET,12.14,0
MATICUSDT,BUY,MARKET,17.78,0
XRPUSDT,SELL,MARKET,3.68,0
MATICUSDT,BUY,MARKET,18.6,0
BNBUSDT,SELL,MARKET,0.17,0
DOGEUSDT,BUY,MARKET,1.99,0
XRPUSDT,BUY,MARKET,4.11,0
BTCUSDT,BUY,MARKET,5.75,0
DOGEUSDT,SELL,MARKET,6.04,0
SOLUSDT,SELL,MARKET,15.08,0
BTCUSDT,SELL,MARKET,13.5,0
